property_name,tenant_name,rent_amount,lease_start,_3leases_rolling_average
"Boyd Ltd","James Wood",49665,2020-07-23,37428
"Boyd Ltd","Kim Ramirez",7444,2020-08-12,29107
"Boyd Ltd","Lindsay Morrison",35695,2022-08-09,30935
"Boyd, Thompson and Rodriguez","Eric Smith",15562,2021-03-14,15562
"Boyd, Thompson and Rodriguez","Sarah Collins",38343,2021-06-08,26953
"Bradley Inc","Taylor Garcia",29506,2020-02-28,29506
"Bradley Inc","Jessica Mcgee",8281,2020-11-16,18894
"Bradley Inc","Amanda Hansen",7314,2021-01-09,15034
"Branch and Sons","Eric Alvarez",37492,2020-05-23,37492
"Branch and Sons","Jason Andrews",13894,2022-07-05,25693
"Branch and Sons","Kayla Horton",47601,2023-02-07,32996
"Branch and Sons","Yolanda Kane",26448,2023-12-25,29314
"Brandt, Cain and Simon","Katherine Young",32735,2020-11-03,32735
"Brandt, Cain and Simon","David Goodman",46542,2021-08-25,39639
"Brandt, Cain and Simon","Robert Rodriguez",29909,2022-08-31,36395
"Brandt, Cain and Simon","Rachel Stein",28555,2022-11-15,35002
"Brennan and Sons","Marie Greene",11440,2019-12-23,11440
"Brennan and Sons","Sheri Massey",45309,2020-08-25,28375
"Brennan and Sons","Natasha Luna",33222,2020-12-07,29990
"Brennan and Sons","Cassandra Riley",34386,2021-09-27,37639
"Brennan and Sons","Julia Mejia",44434,2021-10-14,37347
"Brennan and Sons","Martha Neal",4100,2022-01-24,27640
"Brennan and Sons","Caleb Fisher",28800,2022-02-03,25778
"Brewer, Abbott and Bolton","Christie Peck",20377,2020-01-07,20377
"Brewer, Abbott and Bolton","Anthony Thompson",49756,2021-12-21,35067
"Brewer, Abbott and Bolton","Amy Ray",45832,2024-10-08,38655
"Brewer, Henry and Ryan","Natalie Townsend",48734,2020-06-07,48734
"Brewer, Henry and Ryan","Amber Martinez",35146,2020-06-24,41940
"Brewer, Henry and Ryan","Andrew Christensen",12615,2022-03-02,32165
"Brewer, Henry and Ryan","Matthew Bailey",41812,2024-03-09,29858
"Brewer, Henry and Ryan","Patricia Mason DDS",7588,2024-09-28,20672
"Bright and Sons","Robert Perkins",43891,2020-05-10,43891
"Bright and Sons","Michael Mcdaniel",48025,2021-10-30,45958
"Bright and Sons","Kayla Cooke",22885,2023-01-20,38267
"Bright and Sons","Andrew Salinas",6441,2024-02-13,25784
"Bright and Sons","Michael Tran",38026,2024-09-26,22451
"Brooks, Mason and Colon","Megan Brandt",24203,2021-01-22,24203
"Brooks, Mason and Colon","Jill Trevino",19061,2022-06-11,21632
"Brooks, Mason and Colon","Christine Washington",18446,2024-07-20,20570
Brown-Riley,"Katherine Torres",43078,2021-11-09,43078
Brown-Riley,"Olivia Thornton",34148,2022-06-02,38613
Brown-Smith,"Sarah Martin",25693,2021-04-20,25693
Brown-Smith,"Lisa Thompson",47230,2021-05-01,36462
Brown-Smith,"Albert Lee DVM",10318,2021-06-25,27747
Brown-Smith,"Chelsea White",25635,2023-06-10,27728
Brown-Smith,"Nichole James",49172,2023-07-13,28375
"Bryan, Hall and Wise","Dr. Chloe Walters",29482,2019-11-21,29482
"Bryan, Hall and Wise","Vanessa Scott",39567,2021-08-01,34525
"Bryan, Hall and Wise","Diana Smith",38792,2022-02-13,35947
"Bryan, Hall and Wise","Timothy Mcbride",29842,2022-08-06,36067
"Bryan, Hall and Wise","Robert David",17956,2023-07-18,28863
"Bryan, Hall and Wise","Katie Gibson",6986,2024-02-23,18261
"Bryant, Douglas and Murphy","Emma Shannon",17081,2019-10-27,17081
"Bryant, Douglas and Murphy","Daniel Ritter",27090,2021-04-12,22086
"Bryant, Douglas and Murphy","Lisa Cortez",4052,2022-05-17,16074
"Bryant, Douglas and Murphy","Mark Taylor",38893,2024-03-05,23345
Buck-Anderson,"Casey Lawson",17071,2020-06-02,17071
Buck-Anderson,"Teresa Bryant",31171,2021-02-26,24121
Buck-Anderson,"Darren Martinez",22090,2021-08-22,23444
Buck-Anderson,"Elizabeth Carroll",35640,2024-07-16,29634
"Burns, Castro and Mora","Lauren Dean",32661,2022-06-10,32661
"Burns, Castro and Mora","Marie Horn",17541,2023-01-27,25101
"Burns, Castro and Mora","Michelle Riley",32602,2023-10-31,27601
"Burns, Cox and Whitehead","Jennifer Miller",37486,2022-09-19,37486
"Burns, Cox and Whitehead","Elaine Rodriguez",4952,2022-10-19,21219
"Burns, Cox and Whitehead","Robert Osborne",11751,2023-02-11,18063
"Burton, Chase and Garcia","April Blake",1673,2019-11-21,1673
"Burton, Chase and Garcia","William Reyes",45148,2020-05-22,23411
"Burton, Chase and Garcia","Jeremy Blevins",16910,2020-06-30,21244
"Burton, Chase and Garcia","Donald Parker",33295,2020-07-16,31784
"Burton, Chase and Garcia","Daniel Alexander",37421,2022-07-07,29209
"Burton, Chase and Garcia","Morgan Villanueva",8982,2023-11-20,26566
"Burton, Chase and Garcia","Natasha Simpson",4384,2024-01-06,16929
"Bush LLC","Diana Potter",13325,2020-12-06,13325
Byrd-Rodriguez,"Kimberly Kemp",47705,2020-06-02,47705
Byrd-Rodriguez,"Richard Melton",21311,2021-08-20,34508
Byrd-Rodriguez,"Amber Smith",29579,2021-09-13,32865
Byrd-Rodriguez,"Mr. Kyle Brock",32218,2023-11-12,27703
Byrd-Rodriguez,"Laura Craig",28900,2024-09-20,30232
Cain-Alexander,"Mrs. Amy Lewis",15244,2022-09-21,15244
Cain-Alexander,"Linda Morales",4050,2023-04-03,9647
"Cameron, Park and Willis","Mark Taylor",15874,2020-09-09,15874
"Cameron, Park and Willis","Carlos Smith",47361,2022-04-13,31618
"Cameron, Park and Willis","Randall Lewis",21709,2023-09-02,28315
"Campbell Inc","Jennifer Smith",8455,2023-05-26,8455
"Campbell Inc","Laurie Hall",17034,2023-06-05,12745
Campbell-Rodriguez,"Kylie Sanchez",36542,2020-08-18,36542
Campbell-Rodriguez,"Jessica Gonzalez",17279,2021-03-08,26911
Campbell-Rodriguez,"Monica Simpson",22614,2021-07-14,25478
Campbell-Rodriguez,"Sean Rios",20902,2021-10-11,20265
Campbell-Rodriguez,"Jessica Stein",11193,2022-08-16,18236
Campbell-Rodriguez,"David Cameron",34116,2024-02-10,22070
"Campos Inc","Ashley Powell",45966,2020-01-02,45966
"Campos Inc","Katie Morgan",25723,2020-02-21,35845
"Campos Inc","Gina Barnes",9504,2021-10-15,27064
"Campos Inc","Marilyn Snyder",1911,2022-03-26,12379
"Campos, Burgess and Webb","Kelly Eaton",25675,2020-12-15,25675
"Campos, Burgess and Webb","Amanda Hall",38811,2022-07-25,32243
"Cannon Group","Samantha Humphrey",42133,2019-11-29,42133
"Cannon Group","Darrell Smith",38474,2020-02-23,40304
"Cannon Group","Sean York",32595,2022-01-27,37734
"Cannon Group","Jamie Miller",49943,2022-12-07,40337
"Cannon Group","Ronald Warren II",22802,2023-04-05,35113
"Cannon Group","Nicole Anderson",2646,2024-07-31,25130
"Cannon Inc","Victoria Taylor",2250,2022-12-09,2250
"Cannon Inc","Kyle Brown",22869,2023-05-20,12560
"Cannon Inc","Sandra Thornton",22253,2024-09-19,15791
"Carpenter, Washington and Ramirez","Carol Bruce",17552,2019-12-28,17552
"Carpenter, Washington and Ramirez","Chris Horn",46251,2021-06-07,31902
"Carpenter, Washington and Ramirez","Cynthia Gallegos",7703,2022-04-11,23835
"Carpenter, Washington and Ramirez","James Hernandez",22596,2022-11-19,25517
"Carpenter, Washington and Ramirez","Dwayne Russell",6361,2023-11-11,12220
"Carpenter, Yang and Barton","Brian Sanders",31334,2020-07-14,31334
"Carpenter, Yang and Barton","Roger Brown",48417,2020-12-18,39876
"Carpenter, Yang and Barton","Cody Wilson",7658,2022-08-13,29136
Carroll-Mason,"Melanie Reid",39397,2024-04-30,39397
"Carter Ltd","Richard Young",13467,2019-12-10,13467
"Carter Ltd","Shannon Russell",9027,2020-09-06,11247
"Carter Ltd","Paige Gonzalez",31007,2021-10-01,17834
"Carter Ltd","Brenda Vargas",40263,2021-10-14,26766
"Carter Ltd","Kevin Ramirez",10829,2022-02-26,27366
"Carter Ltd","Daniel Vega",2717,2024-08-14,17936
Carter-Marquez,"Tracy Cook",43436,2022-02-06,43436
Carter-Marquez,"Nicole Shepherd",29718,2022-04-19,36577
Carter-Marquez,"Jason Wilson",25102,2022-05-15,32752
Carter-Marquez,"Patrick Campbell",11739,2023-02-01,22186
"Casey and Sons","Timothy Torres",30695,2020-09-03,30695
"Casey and Sons","Robert Chavez",44781,2021-07-30,37738
"Casey and Sons","Elizabeth Brady",34473,2024-03-17,36650
"Chan, Davenport and Mccoy","Joshua Taylor",34325,2021-07-10,34325
"Chan, Davenport and Mccoy","Jeremy Lopez",22144,2021-12-07,28235
"Chan, Davenport and Mccoy","Marvin Jacobs",35859,2022-03-31,30776
Chandler-Campbell,"Manuel Gonzalez",1157,2024-04-28,1157
Chandler-Campbell,"Calvin Duran",1127,2024-09-09,1142
Chaney-Jones,"Amber Carpenter",12117,2022-05-12,12117
Chaney-Jones,"Paul Watts",39239,2024-07-31,25678
"Chang, West and Fields","Andrea French",40442,2020-07-05,40442
"Chang, West and Fields","Matthew Dickson",45899,2021-06-21,43171
"Chang, West and Fields","Deborah Hutchinson",47295,2022-08-26,44545
"Chang, West and Fields","Amanda Smith",1306,2023-10-20,31500
"Chavez, Briggs and Perkins","Frank Campbell",24413,2022-07-30,24413
"Chavez, Briggs and Perkins","Charles Hobbs",35852,2023-01-26,30133
"Choi Inc","Seth Cook",4854,2020-03-30,4854
"Choi Inc","Anthony Ramirez",1703,2020-07-12,3279
"Choi Inc","Andrew Rogers",20188,2022-08-01,8915
"Choi Inc","Tom Howard",21426,2022-12-10,14439
"Choi Inc","Michelle Cooper",47800,2023-02-06,29805
"Christian, Herring and Garza","Kaitlyn Thompson",11239,2021-05-27,11239
"Christian, Murray and Little","Michael Garrison",49775,2021-01-18,49775
"Christian, Murray and Little","Kristin Ellis",3146,2022-08-09,26461
"Christian, Murray and Little","Angela Hernandez",7659,2022-08-29,20193
"Cisneros Group","Amanda Rivera",22777,2019-11-30,22777
"Cisneros Group","Robert Lewis",14725,2021-03-26,18751
"Cisneros Group","Timothy Watkins",43554,2024-02-15,27019
"Cisneros Group","Tammy Smith",1414,2024-06-09,19898
"Clark LLC","Catherine Campbell",12179,2021-06-15,12179
"Clark LLC","James Dunn",36852,2021-12-10,24516
"Clark LLC","Allen Phillips",17747,2023-02-27,22259
"Clark LLC","Gregory Davis",39932,2023-10-05,31510
"Clark LLC","Erin Smith",20646,2024-03-13,26108
"Clark LLC","Brandon Ellis MD",1987,2024-03-14,20855
"Clark LLC","Jason Miller",7667,2024-03-28,10100
Clark-Riggs,"Mr. Alex Sandoval",20877,2020-02-10,20877
Clark-Riggs,"Wendy Morales",3694,2020-07-10,12286
"Clarke, Herrera and Logan","Mark Rodriguez",42596,2020-07-24,42596
"Clarke, Herrera and Logan","Carolyn Chandler",24015,2021-06-14,33306
"Clarke, Herrera and Logan","Kerry Jacobs",27165,2022-01-18,31259
"Clayton Inc","Mr. Mario Ruiz",8211,2021-05-20,8211
"Clayton Inc","Mandy Lloyd",43275,2021-10-11,25743
"Clayton Inc","Tyler Church",48552,2022-07-28,33346
"Clayton Inc","Kelly Huff",49422,2023-04-13,47083
"Clayton Inc","Jennifer Williams",40750,2023-06-30,46241
"Clayton Inc","Jennifer Gray",12130,2023-08-26,34101
"Clayton Inc","Karen Rice",11138,2024-04-22,21339
Cline-Hill,"Joyce Romero",7897,2020-04-15,7897
Cline-Hill,"Mr. Jeffrey Hartman",33110,2020-12-16,20504
Cline-Hill,"Sarah Foster",8674,2020-12-23,16560
Cline-Hill,"Hannah Cummings",14313,2023-04-22,18699
Cline-Hill,"John Johnson",26045,2024-02-10,16344
Cline-Hill,"Christopher Baker",21814,2024-07-11,20724
Coleman-Hayes,"Rebecca Moore",19832,2021-01-21,19832
Coleman-Hayes,"Steven Miller",36203,2021-02-23,28018
Coleman-Hayes,"Garrett Gross",32696,2022-10-08,29577
Coleman-Hayes,"Andrea Daniel",46409,2023-08-16,38436
Collins-Mccoy,"Renee Price",43826,2020-05-13,43826
Collins-Mccoy,"Charles Morris",13109,2023-10-17,28468
Contreras-Delgado,"Sean Oliver",27361,2019-11-22,27361
Contreras-Delgado,"Janice Jacobs",1837,2021-05-07,14599
Contreras-Delgado,"David Hayes MD",25929,2022-10-13,18376
Contreras-Delgado,"Justin Johnson",7365,2024-09-09,11710
"Conway Inc","Amber Parker",11270,2020-06-14,11270
"Conway Inc","Matthew Orozco",12711,2021-07-16,11991
"Conway Inc","Riley Hanna",9802,2022-02-13,11261
"Conway Inc","Jose Carr",21851,2023-01-22,14788
"Conway Inc","Abigail Williams",6487,2023-02-23,12713
"Cook and Sons","Hannah Keith",10032,2020-07-06,10032
"Cook and Sons","Lynn Moore",22836,2022-07-24,16434
"Cook and Sons","Pamela Shaffer",6303,2024-09-19,13057
"Cook, Mendoza and Leonard","Haley Morris",18376,2021-05-26,18376
"Cook, Mendoza and Leonard","Alexandra Morton",40595,2022-12-08,29486
"Cooper Group","Kevin Wagner",3286,2020-09-09,3286
"Cooper Group","Kyle Brooks",1611,2021-03-03,2449
"Cooper Group","Maureen Brown",46488,2022-03-19,17128
"Cooper Group","John Cisneros",13110,2022-12-25,20403
"Cooper Group","Kathleen Willis",32034,2023-08-15,30544
"Cooper Group","Kenneth Morrow",25231,2024-08-31,23458
Cooper-Michael,"Julia Jenkins",18827,2020-05-29,18827
Cooper-Michael,"Zachary Dennis",6320,2021-12-05,12574
Cooper-Michael,"Cindy Garner",23503,2022-09-21,16217
Cooper-Michael,"Donald Tucker",36841,2022-12-09,22221
Cooper-Michael,"Michael Wilson",34535,2023-04-28,31626
Cooper-Michael,"Lacey Carter",12791,2024-05-15,28056
"Costa LLC","Kimberly Gay",22599,2020-04-22,22599
"Costa LLC","Jasmine Scott",42439,2021-10-27,32519
"Costa LLC","Maria Guerra",44985,2022-04-26,36674
"Costa LLC","Valerie Walter",13791,2023-05-04,33738
"Cox PLC","Jerry Mitchell",11998,2020-07-02,11998
"Cox PLC","Lisa Montes",22947,2022-03-22,17473
"Cox PLC","Scott Martin",41593,2024-01-06,25513
"Cox PLC","Shawn Rodgers PhD",38571,2024-09-02,34370
Cox-Hardin,"Charles Arias",22968,2021-04-21,22968
Cox-Hardin,"Morgan Torres",13060,2023-11-18,18014
Craig-Foster,"Taylor Obrien",42007,2020-02-17,42007
Craig-Foster,"Kristen Mcclain",41643,2021-05-08,41825
Craig-Foster,"Brett Garcia",2679,2021-07-15,28776
Craig-Foster,"Mrs. Jessica Martin",16856,2021-12-10,20393
Craig-Foster,"Felicia Martin",41758,2022-02-06,20431
Craig-Foster,"Amanda Walker",37779,2023-04-15,32131
Cruz-Green,"Ann Pierce",18937,2019-11-10,18937
Cruz-Green,"Jacqueline Blackburn",43407,2024-02-05,31172
"Cunningham Inc","Kimberly Lane",18536,2020-01-06,18536
"Cunningham Inc","Scott Dillon",1374,2020-03-29,9955
"Cunningham Inc","Ms. Lori Garcia DDS",18815,2023-06-07,12908
"Cunningham Inc","Emily Hunt",14515,2023-07-08,11568
"Cunningham Inc","Jason Green",22022,2023-08-25,18451
"Cunningham Inc","Charles Koch",39863,2024-08-12,25467
"Cunningham Inc","Rebecca Anderson",4775,2024-10-17,22220
"Cunningham Inc","Valerie Wolfe",7392,2024-10-18,17343
Cunningham-Floyd,"Joseph Peterson",41046,2020-05-04,41046
Cunningham-Floyd,"Angela Ortiz",35332,2021-09-01,38189
Cunningham-Floyd,"Walter Clark",19592,2022-05-15,31990
Cunningham-Floyd,"Tiffany Beard",36695,2023-07-19,30540
Cunningham-Floyd,"Wendy Harrington",33476,2024-04-19,29921
"Cunningham, Berry and Howard","Arthur Miller",28387,2020-05-01,28387
"Cunningham, Berry and Howard","Ronald Cruz",44677,2021-01-30,36532
"Cunningham, Berry and Howard","Keith Smith",22376,2021-07-13,31813
"Cunningham, Berry and Howard","Kristi Jones",29587,2022-08-24,32213
"Cunningham, Berry and Howard","Robert Baker",25787,2024-02-05,25917
"Cunningham, Berry and Howard","Jeff Beard",16453,2024-05-10,23942
"Cunningham, Berry and Howard","Nicholas Price",46510,2024-06-21,29583
"Davies, Mccoy and Cox","Rick Frederick",42784,2021-03-05,42784
"Davies, Mccoy and Cox","Jonathan Wilson",16517,2021-04-20,29651
"Davies, Mccoy and Cox","Kyle Thompson",30217,2021-08-25,29839
"Davies, Mccoy and Cox","Laura Phillips",41612,2023-01-07,29449
"Davies, Mccoy and Cox","Alexandra Garrison",32630,2023-11-09,34820
"Davis Ltd","Jessica Greer DDS",25109,2020-04-08,25109
"Davis Ltd","Barbara Bright",16496,2020-12-14,20803
"Davis Ltd","Lisa Rivera",40890,2024-09-27,27498
Davis-Quinn,"Thomas Shields",49974,2019-11-14,49974
Davis-Quinn,"Timothy Morrison",5670,2020-04-22,27822
Davis-Quinn,"Jamie Brown",7544,2020-05-26,21063
Davis-Quinn,"Jason Cooke",10386,2020-08-23,7867
Davis-Quinn,"Jimmy Collins",6785,2020-10-07,8238
Davis-Quinn,"Thomas Parrish",35949,2021-12-07,17707
Davis-Quinn,"Angela Poole",38663,2023-07-09,27132
Davis-Quinn,"Perry Ruiz",12548,2024-08-05,29053
Davis-Wood,"David Kane",46699,2020-03-27,46699
Davis-Wood,"Jamie Smith",11602,2021-07-07,29151
Davis-Wood,"Johnathan Hampton",35059,2022-03-25,31120
Davis-Wood,"Michelle Thompson",32779,2022-09-11,26480
Davis-Wood,"Rachel Myers",15704,2023-05-07,27847
"Douglas LLC","Debra Ferrell DVM",28899,2024-02-26,28899
"Douglas LLC","Vanessa Hall",35205,2024-08-08,32052
"Doyle LLC","Melissa Ruiz",21477,2020-02-06,21477
"Doyle LLC","Melissa Gonzalez",37391,2021-01-05,29434
"Doyle LLC","Justin Morales",41760,2023-02-03,33543
"Doyle LLC","Andrew Powers",17008,2023-10-09,32053
"Doyle LLC","Thomas French",28312,2023-12-19,29027
"Doyle PLC","Hannah Carson",27158,2023-03-19,27158
"Doyle PLC","Jonathan Patterson",19725,2023-08-10,23442
"Drake, Moore and Stevenson","Todd Stevenson",23115,2020-03-23,23115
"Durham, Peterson and Rosario","Shelly Charles",46236,2024-02-07,46236
"Durham, Peterson and Rosario","Dawn Parker",47792,2024-03-22,47014
"Eaton Ltd","Amber Jenkins",6307,2021-06-09,6307
"Eaton Ltd","Lisa Brown",40319,2022-04-14,23313
"Eaton Ltd","Cindy Myers",20251,2024-01-28,22292
"Eaton Ltd","Darryl Jarvis",45775,2024-02-15,35448
Edwards-Miller,"Thomas Gonzalez",24836,2020-03-31,24836
Edwards-Miller,"Kelly Roy",14234,2023-07-06,19535
Edwards-Stewart,"Laura Mcclure",2516,2019-12-19,2516
Edwards-Stewart,"Joseph Dominguez",10367,2020-02-18,6442
Edwards-Stewart,"Bruce Cuevas",22147,2022-08-29,11677
