lease_id,property_id,tenant_name,lease_start,lease_end,rent_amount
L00146,P0242,Valerie Walter,2023-05-04,2027-11-30,13791
L00147,P0209,Andrew Jones,2024-10-03,2029-08-26,17937
L00148,P0209,Brittany Harper,2021-01-10,2029-06-16,36399
L00149,P0446,Kerri Phillips,2022-07-17,2025-05-28,30588
L00150,P0430,Brian Bolton,2021-05-15,2026-11-19,6188
L00151,P0197,Elizabeth Carroll,2024-07-16,2026-06-06,35640
L00152,P0003,John Wells,2022-02-05,2025-04-03,24582
L00153,P0074,Sara Meyers,2024-09-18,2026-10-03,29738
L00154,P0499,Reginald Diaz,2020-04-19,2028-09-28,8065
L00155,P0100,Robert Quinn,2020-10-02,2028-04-17,18322
L00156,P0062,Tyler Myers,2020-10-23,2029-07-08,16450
L00157,P0351,John Brock,2022-04-10,2024-12-18,29616
L00158,P0050,Jennifer Holloway,2021-02-20,2026-05-04,41436
L00159,P0189,Leslie Poole,2021-11-07,2028-08-21,42152
L00160,P0170,Angela Poole,2023-07-09,2025-10-03,38663
L00161,P0054,Robert Rodriguez,2022-08-31,2027-07-16,29909
L00162,P0253,Samuel Lopez DDS,2023-06-26,2027-08-06,13976
L00163,P0309,Matthew Smith,2020-12-24,2027-10-15,10859
L00164,P0352,Michael Howard,2021-06-13,2027-04-07,22501
L00165,P0017,Greg Mitchell,2022-11-08,2028-06-11,40801
L00166,P0008,Jenna Patterson,2021-10-12,2025-03-02,45118
L00167,P0046,Wendy Harrington,2024-04-19,2026-04-14,33476
L00168,P0125,David Garcia,2022-03-03,2026-10-30,6470
L00169,P0478,Pamela Shaffer,2024-09-19,2027-03-01,6303
L00170,P0312,Stacy Perez,2021-05-04,2027-12-14,31713
L00171,P0361,Curtis Swanson,2022-03-16,2027-05-15,8913
L00172,P0187,Jennifer Gibson,2020-08-14,2027-07-19,36188
L00173,P0399,Jose Garza,2022-06-11,2024-11-25,23161
L00174,P0158,John Reed,2023-05-10,2027-11-04,18440
L00175,P0432,Joel Lawrence,2024-07-10,2026-11-15,16270
L00176,P0182,Kelly Gonzalez,2020-12-30,2025-12-11,11161
L00177,P0268,Jeffrey Rivera,2022-10-03,2027-09-26,49868
L00178,P0032,Gregory Stephens,2023-09-05,2027-10-04,26069
L00179,P0468,Andrew Charles,2020-06-19,2025-04-14,30811
L00180,P0445,Nicole Miller,2020-09-12,2025-12-19,29989
L00181,P0211,Natalie Townsend,2020-06-07,2026-09-20,48734
L00182,P0084,Emily Elliott,2020-10-22,2026-08-02,41083
L00183,P0311,John Harrison,2023-03-18,2028-11-04,37447
L00184,P0241,Dr. Megan Gonzalez DDS,2021-12-11,2027-12-07,11539
L00185,P0443,Stephanie Montgomery,2020-11-22,2027-08-09,8491
L00186,P0359,Scott Woods,2020-10-29,2025-05-23,6793
L00187,P0021,Andrew Flores,2024-03-25,2026-09-28,28515
L00188,P0092,Mary Rangel,2021-10-03,2027-10-27,40928
L00189,P0046,Walter Clark,2022-05-15,2027-02-28,19592
L00190,P0337,Jonathan Stone,2021-10-13,2026-08-23,44733
L00191,P0228,Kylie Sanchez,2020-08-18,2027-04-29,36542
L00192,P0355,Michelle Riley,2023-10-31,2028-04-09,32602
L00193,P0093,Jeffrey Glenn,2024-02-17,2026-05-03,30778
L00194,P0076,David Norris,2021-12-08,2024-12-12,43577
L00195,P0428,Joel Downs,2020-07-25,2029-08-04,43942
L00196,P0346,Nicholas Roberts,2023-11-01,2024-11-02,30017
L00197,P0453,Marissa Bennett,2022-11-02,2025-11-03,34732
L00198,P0080,Brian Thomas,2023-04-24,2024-12-11,26386
L00199,P0235,Dennis Walker,2023-06-28,2025-02-15,17197
L00200,P0383,Gregory Cameron,2024-01-22,2024-11-03,21679
L00201,P0314,David Berry,2020-02-13,2028-09-18,13834
L00202,P0097,Cindy Manning,2022-05-12,2027-09-10,35464
L00203,P0402,Jeffery Greer,2020-03-09,2028-10-23,41935
L00204,P0140,Richard Bond,2024-03-21,2026-05-16,30511
L00205,P0375,Terri Weaver,2019-11-29,2025-01-21,32579
L00206,P0111,Michael Smith,2020-05-13,2025-10-01,39203
L00207,P0396,Patricia Mccormick,2021-10-06,2028-05-08,40099
L00208,P0224,Gabriel Anderson,2020-02-24,2029-10-23,14509
L00209,P0233,James Blevins,2021-09-08,2026-07-25,8087
L00210,P0196,Jill Graves,2021-07-07,2026-05-22,10829
L00211,P0340,Tammy Mcdaniel,2023-03-02,2027-08-26,10059
L00212,P0459,Terry Bell,2020-07-09,2026-07-26,23654
L00213,P0127,Richard Anderson,2022-10-23,2029-05-11,18290
L00214,P0154,Lisa Dean,2021-07-16,2027-05-05,4797
L00215,P0208,Susan Harris,2020-02-10,2025-06-01,37937
L00216,P0413,Michael Richardson,2023-02-21,2027-10-23,47347
L00217,P0440,Joel Carlson,2021-11-27,2029-05-21,11474
L00218,P0144,Monica Lynch,2020-08-15,2028-08-22,14203
L00219,P0432,Jessica Pennington,2023-05-30,2026-08-06,21531
L00220,P0142,Mark Taylor,2024-03-05,2028-04-01,38893
L00221,P0070,Rebecca Moore,2021-01-21,2026-08-20,19832
L00222,P0154,Maria Warner,2020-10-04,2029-06-11,30086
L00223,P0363,Amy Sanders,2019-12-13,2029-03-19,23031
L00224,P0262,Mark Collins,2023-11-27,2028-02-07,20825
L00225,P0319,Erin Flores,2024-07-07,2025-08-24,33319
L00226,P0157,Daniel Parker,2020-01-18,2028-08-28,10706
L00227,P0486,Michael Sanders,2022-02-08,2027-05-25,25819
L00228,P0218,Amanda Pena,2020-09-29,2025-08-03,8633
L00229,P0343,Kaitlyn Thompson,2021-05-27,2028-04-10,11239
L00230,P0052,Becky Williams,2023-09-16,2027-09-25,24297
L00231,P0256,Heather Williams,2019-11-21,2029-07-05,20871
L00232,P0110,Michael Villa,2020-06-17,2028-10-02,7175
L00233,P0065,William Montoya,2024-02-15,2025-05-23,22610
L00234,P0247,Krista Lucas,2021-03-23,2025-03-19,3921
L00235,P0043,Robert Jones,2021-06-24,2029-06-24,37641
L00236,P0317,Jeremy Lopez,2021-12-07,2027-02-22,22144
L00237,P0377,Jonathan Rogers,2021-07-27,2026-01-10,46921
L00238,P0179,William Ramirez,2024-06-21,2026-08-12,4540
L00239,P0485,Angela Hutchinson,2022-08-28,2024-11-03,46273
L00240,P0410,Alicia Williams,2022-07-17,2028-08-12,36159
L00241,P0383,Kevin Miller,2022-06-05,2025-11-01,44541
L00242,P0109,Sarah Collins,2021-06-08,2026-11-06,38343
L00243,P0310,Zachary Dennis,2021-12-05,2027-03-11,6320
L00244,P0047,Mr. Andrew Wells,2020-11-18,2024-12-18,37552
L00245,P0358,Patrick Wilson,2021-05-12,2027-08-02,46935
L00246,P0312,Shelly Blair,2024-03-29,2026-02-14,5732
L00247,P0133,Shawn Jones,2024-07-12,2027-06-30,40581
L00248,P0085,Mary Schwartz,2023-08-04,2028-01-25,41585
L00249,P0285,Nancy Smith,2020-10-27,2024-12-20,20250
L00250,P0008,Mason Harvey,2024-07-30,2027-08-15,37512
L00251,P0258,Cheryl Powell,2023-08-24,2026-12-15,45301
L00252,P0269,Vicki Wilson,2021-03-02,2029-07-04,48240
L00253,P0016,Mrs. Amy Lewis,2022-09-21,2029-09-03,15244
L00254,P0492,Pamela Ingram,2023-07-11,2026-11-19,36267
L00255,P0309,Jeremy Stone,2023-08-07,2029-06-28,36399
L00256,P0134,David Hernandez,2024-10-21,2029-08-19,45234
L00257,P0003,Amy Campbell,2023-11-26,2024-12-08,16209
L00258,P0007,Todd Castro,2021-06-18,2025-01-06,5569
L00259,P0058,Melinda Murphy,2020-03-14,2029-05-02,7136
L00260,P0296,Benjamin Pierce,2021-01-01,2029-06-04,9946
L00261,P0170,Perry Ruiz,2024-08-05,2027-12-12,12548
L00262,P0301,Amy Moore,2020-02-23,2025-08-21,10359
L00263,P0106,Devin Douglas,2022-08-20,2025-04-19,35660
L00264,P0103,Renee Goodwin,2024-05-02,2027-07-01,32946
L00265,P0253,Morgan Hernandez,2024-01-31,2028-09-06,28487
L00266,P0125,Mrs. Sarah Moore,2021-02-09,2028-08-03,32283
L00267,P0105,Kirsten Smith,2023-07-25,2026-06-06,21008
L00268,P0367,Andrea French,2020-07-05,2027-12-11,40442
L00269,P0066,Timothy Clark,2023-03-07,2029-08-07,19489
L00270,P0429,Susan Lee,2023-07-07,2027-04-23,2446
L00271,P0387,Allen Phillips,2023-02-27,2026-09-18,17747
L00272,P0176,Tanya Perez,2021-01-29,2027-12-23,25766
L00273,P0244,Angela Novak,2023-07-26,2027-10-27,6261
L00274,P0156,Daniel Richardson,2024-01-20,2026-07-06,18403
L00275,P0451,Christopher Padilla,2020-09-24,2028-09-09,7312
L00276,P0021,Monica Ramsey,2023-04-27,2027-01-08,3459
L00277,P0087,Brian Smith,2020-05-11,2028-01-03,12113
L00278,P0416,Suzanne White,2020-09-05,2029-04-12,5999
L00279,P0498,Manuel Gonzalez,2024-04-28,2026-07-14,1157
L00280,P0309,Kimberly Meyer,2023-04-08,2028-08-15,20025
L00281,P0085,Nicole Wallace,2021-01-01,2028-04-11,27875
L00282,P0487,Eric Figueroa,2023-12-14,2024-11-19,30841
L00283,P0146,Diane Edwards,2019-12-18,2028-03-30,40347
L00284,P0431,Pamela Jackson,2022-05-31,2026-09-23,19726
L00285,P0180,Chelsea Mclaughlin,2021-04-28,2027-01-30,49042
L00286,P0432,William Williams,2024-08-14,2025-01-13,30657
L00287,P0317,Joshua Taylor,2021-07-10,2027-01-18,34325
L00288,P0232,Vincent Murphy,2024-04-28,2028-04-23,25821
L00289,P0197,Darren Martinez,2021-08-22,2026-03-29,22090
L00290,P0262,Christopher Sheppard,2020-09-03,2029-10-17,33460
L00291,P0133,Lauren Morrow,2022-07-15,2028-11-10,34981
L00292,P0461,Heather Winters,2021-07-16,2025-12-13,16458
L00293,P0295,Joann Meyers,2021-01-01,2027-03-20,7425
L00294,P0281,Kayla Meyers,2024-09-29,2028-01-23,20961
L00295,P0345,Angela Moran,2024-01-12,2027-09-17,6635
L00296,P0416,Benjamin Solis,2020-09-08,2028-01-21,45326
L00297,P0428,Mrs. Mindy Lewis,2019-12-19,2026-03-18,3725
L00298,P0447,Raymond Conner,2020-05-25,2025-07-21,7860
L00299,P0333,Keith Hampton,2021-05-20,2026-02-28,22397
L00300,P0457,Carlos Smith,2022-04-13,2026-05-02,47361
L00301,P0166,Aaron Grant,2022-08-24,2027-07-05,38835
L00302,P0196,Dawn Contreras,2024-02-03,2025-05-21,17421
L00303,P0312,Robert Hunt,2020-02-09,2025-12-07,17733
L00304,P0440,Justin Hernandez,2023-04-25,2026-04-26,20223
L00305,P0412,Kelly Huff,2023-04-13,2026-05-31,49422
L00306,P0069,Ryan Lawrence,2022-06-16,2026-08-08,15896
L00307,P0469,Amber Saunders,2019-11-02,2026-12-09,33420
L00308,P0036,Adam Cooper,2021-02-17,2028-08-07,34200
L00309,P0397,Nicole Anderson,2024-07-31,2029-03-13,2646
L00310,P0030,Doris Barrett,2024-05-25,2029-04-05,13928
L00311,P0290,Amanda Hall,2022-07-25,2029-07-13,38811
L00312,P0295,Joan Ellis,2020-10-03,2025-04-17,39506
L00313,P0226,Elizabeth Garcia,2023-10-22,2028-01-20,13175
L00314,P0255,Isaac Shelton,2020-03-23,2025-04-10,21999
L00315,P0234,Karen Palmer,2022-11-02,2025-11-05,3693
L00316,P0006,William Merritt,2021-04-24,2028-01-30,17780
L00317,P0078,Elizabeth Kidd,2024-08-16,2026-10-15,33720
L00318,P0006,Charles Floyd,2024-10-21,2027-10-21,43248
L00319,P0066,Kathleen Keith,2022-11-17,2028-10-12,12251
L00320,P0081,Kirk Hampton,2019-11-11,2029-09-09,19115
L00321,P0446,Gabriel White,2024-06-19,2025-01-06,47862
L00322,P0131,David Hayes MD,2022-10-13,2028-08-19,25929
L00323,P0008,Cathy Scott,2022-11-01,2026-10-07,27369
L00324,P0472,Nicole Frazier,2020-02-21,2026-12-04,32408
L00325,P0382,Timothy Smith Jr.,2022-04-07,2026-03-26,10647
L00326,P0404,Andrew Olsen,2024-09-22,2027-01-26,14918
L00327,P0295,Tina Fields,2023-10-18,2025-01-17,20844
L00328,P0333,Steven Moreno,2021-10-14,2027-04-16,39384
L00329,P0481,Mr. Brian Thomas,2019-12-13,2026-02-12,31992
L00330,P0022,Samantha Henderson,2020-07-02,2028-02-16,19077
L00331,P0472,Lindsay Morrison,2022-08-09,2026-06-07,35695
L00332,P0413,George Martinez,2024-10-13,2028-07-17,17759
L00333,P0430,James Johnson,2023-08-20,2029-10-07,44049
L00334,P0189,Rachel Roberts,2023-02-26,2029-02-15,28381
L00335,P0070,Steven Miller,2021-02-23,2028-08-11,36203
L00336,P0392,Michelle Long,2024-05-19,2027-08-15,30350
L00337,P0128,Rhonda Bailey,2020-02-28,2026-08-08,39080
L00338,P0100,Michael Lee,2023-11-14,2028-04-12,23601
L00339,P0463,Glenn Campbell,2024-03-04,2028-07-25,6715
L00340,P0303,James Burns,2022-08-18,2027-03-15,26232
L00341,P0158,Mr. Michael Wade,2021-03-06,2028-11-12,45119
L00342,P0102,John Arnold,2020-03-22,2026-02-19,32844
L00343,P0002,Luis Washington,2020-02-19,2025-12-21,12329
L00344,P0441,Vanessa Scott,2021-08-01,2029-07-28,39567
L00345,P0182,Savannah Medina,2021-04-03,2025-01-29,34453
L00346,P0228,David Cameron,2024-02-10,2027-11-25,34116
L00347,P0066,Howard Bush,2021-05-03,2027-02-23,46166
L00348,P0170,Jimmy Collins,2020-10-07,2026-10-30,6785
L00349,P0196,Stephen Anderson,2021-02-03,2024-11-04,26270
L00350,P0493,Roy Duncan,2024-08-02,2026-03-21,13187
L00351,P0387,Brandon Ellis MD,2024-03-14,2027-09-05,1987
L00352,P0077,Jeffrey Zimmerman,2024-09-11,2025-07-24,43357
L00353,P0487,Michael Ellison,2021-01-31,2028-03-05,20930
L00354,P0257,Sharon Flores,2019-11-15,2027-07-29,44138
L00355,P0178,Robert Osborne,2023-02-11,2025-07-31,11751
L00356,P0487,Maria Stewart,2023-08-31,2028-05-19,24278
L00357,P0180,Amanda Marshall,2023-02-19,2026-09-18,14231
L00358,P0279,Bryan Nelson,2021-02-08,2029-07-12,16056
L00359,P0391,Teresa Spencer MD,2023-12-10,2029-09-20,33971
L00360,P0074,Edward Cervantes,2021-09-12,2026-02-23,19627
L00361,P0388,Kristina Soto,2022-06-08,2028-02-09,15442
L00362,P0231,Stephanie Taylor,2020-10-24,2026-05-07,4347
L00363,P0200,Sean Horn,2024-09-02,2029-09-23,16758
L00364,P0369,Margaret Evans,2022-07-14,2027-09-26,38539
L00365,P0186,Amanda Mitchell,2023-02-11,2029-04-02,21879
L00366,P0467,Emma Martin,2024-09-03,2026-11-30,32419
L00367,P0373,Calvin Johnson,2024-08-24,2025-07-24,37582
L00368,P0281,Pamela Landry,2021-02-07,2026-12-25,40148
L00369,P0059,Laura Phillips,2023-01-07,2028-02-12,41612
L00370,P0216,Bryan Lucas,2021-03-08,2028-06-22,40069
L00371,P0261,Misty Christian,2024-07-01,2026-03-23,48255
L00372,P0364,Christina Gonzales,2024-02-07,2027-01-06,47984
L00373,P0439,Mark Reed,2021-10-12,2027-01-31,43683
L00374,P0313,Katie Vaughn,2024-07-28,2024-12-06,39801
L00375,P0214,Anthony Rodriguez,2023-07-04,2028-05-24,26741
L00376,P0211,Andrew Christensen,2022-03-02,2026-05-27,12615
L00377,P0015,Robert Carr,2023-12-25,2026-04-01,29194
L00378,P0239,Luke Smith MD,2020-10-15,2027-10-09,4035
L00379,P0067,Johnathan Hampton,2022-03-25,2029-10-04,35059
L00380,P0318,Brett Garcia,2021-07-15,2029-01-11,2679
L00381,P0174,Jackie Mclaughlin,2023-04-18,2025-05-15,9028
L00382,P0299,Charles Gonzalez,2022-12-22,2028-05-24,24936
L00383,P0472,Michelle Campbell,2020-06-24,2027-08-24,30211
L00384,P0414,Kevin Ramirez,2022-02-26,2029-03-10,10829
L00385,P0292,Charles Morris,2023-10-17,2026-09-08,13109
L00386,P0043,Robert Mayo,2021-10-09,2025-09-02,49506
L00387,P0425,Amber Smith,2021-09-13,2027-02-11,29579
L00388,P0484,Amber Carpenter,2022-05-12,2029-03-12,12117
L00389,P0488,Antonio Baldwin,2020-08-27,2025-03-01,47791
L00390,P0145,Alejandro Dean,2023-10-10,2027-06-18,8396
L00391,P0251,Dawn Parker,2024-03-22,2026-02-21,47792
L00392,P0403,Kayla Cooke,2023-01-20,2029-09-15,22885
L00393,P0296,Timothy Harris,2021-09-12,2029-07-08,45774
L00394,P0351,Mark Smith,2023-05-27,2027-06-09,48428
L00395,P0080,Patricia Wells,2021-08-02,2025-12-31,35222
L00396,P0199,Joshua Nelson,2022-03-02,2026-04-06,19521
L00397,P0368,Allison Cox,2022-02-22,2028-01-28,42046
L00398,P0321,Jordan Brown,2020-06-14,2027-07-10,8111
L00399,P0080,Michelle Ford,2021-02-07,2029-01-21,38615
L00400,P0487,Laura Morris,2023-04-22,2028-09-03,13231
L00401,P0354,Samantha Alvarado,2024-01-05,2026-12-22,4851
L00402,P0464,Timothy Woodard,2023-06-09,2026-10-26,12243
L00403,P0137,James Peterson,2022-12-04,2026-03-16,7163
L00404,P0199,Roy Johnston MD,2021-05-18,2026-02-27,44191
L00405,P0214,David Mendoza,2022-06-02,2026-02-09,2761
L00406,P0083,Shawn Rodgers PhD,2024-09-02,2026-03-13,38571
L00407,P0074,Rhonda Ruiz,2023-08-22,2026-06-02,27082
L00408,P0159,Kimberly Brown,2020-07-06,2029-05-19,35716
L00409,P0156,Michelle Price,2023-02-08,2027-11-10,30604
L00410,P0429,Tyler Morales,2023-04-16,2026-07-23,38810
L00411,P0359,Stephanie Jacobson MD,2021-11-09,2027-01-18,23578
L00412,P0447,Robert Wheeler,2024-04-14,2025-01-12,38137
L00413,P0252,Amber Henry,2023-07-15,2029-06-19,19408
L00414,P0411,Amy Medina,2023-10-16,2028-08-02,46925
L00415,P0354,Sara Fowler,2019-11-19,2026-05-03,38188
L00416,P0319,Roberta Kerr,2023-04-18,2025-12-31,13302
